"","sigma","series"
"2012-05-21",1.16725446941134,0.0382181509382833
"2012-05-22",1.18679757021724,-0.0618447651696399
"2012-05-23",1.16001479156347,0.0972250290481561
"2012-05-24",1.14483733537542,0.148365636292846
"2012-05-25",1.14270494075751,0.143427222574491
"2012-05-28",1.14306402703651,-0.0670080545553968
"2012-05-29",1.14375300586266,-0.0189182248893817
"2012-05-30",1.12387017297114,0.130741532066664
"2012-05-31",1.10867653075324,0.155794731228313
"2012-06-01",1.06369964798058,0.113142558834737
"2012-06-04",1.16693172841402,0.342563014929916
"2012-06-05",1.14039689145127,0.0691996737221053
"2012-06-06",1.12029349043675,0.0778807101669057
"2012-06-07",1.10293106945337,0.107193161213875
"2012-06-08",1.08001061404856,0.0970514006103668
"2012-06-11",1.10787107250138,-0.105308803596618
"2012-06-12",1.10611918398897,0.105957348727289
"2012-06-13",1.11440290638209,-0.172267740132347
"2012-06-14",1.09544268385265,0.144111845813629
"2012-06-15",1.08613522953905,0.0397263733882206
"2012-06-18",1.08025928312759,0.0130070708760276
"2012-06-19",1.08944897999031,0.165667105006477
"2012-06-20",1.07561944221274,0.0945862630890748
"2012-06-21",1.09698264476166,0.222689729009858
"2012-06-25",1.14109778966321,0.139632725058374
"2012-06-26",1.13159970058135,0.0161131578627623
"2012-06-27",1.11206562673619,0.0162535295472492
"2012-06-28",1.10579466920778,0.025875374939349
"2012-06-29",1.12715442790849,-0.0883129481374712
"2012-07-02",1.11209078543391,-0.0222931114746354
"2012-07-03",1.09051476083338,-0.0173723429048904
"2012-07-04",1.08892289762994,0.00918287431648359
"2012-07-05",1.12890130325833,-0.0125448664884735
"2012-07-06",1.13442695100171,-0.0745879126675711
"2012-07-09",1.1550765416917,0.106780966991164
"2012-07-10",1.15140399320095,-0.0138491408925684
"2012-07-11",1.1308661755827,-0.0792803527346431
"2012-07-12",1.12999607529729,-0.0832289504377086
"2012-07-13",1.11308674529219,-0.0335034532010123
"2012-07-16",1.14034761114591,0.0565279935885992
"2012-07-17",1.12427064276427,-0.0781649979148156
"2012-07-18",1.10522389326044,-0.062036895431693
"2012-07-19",1.092323886909,-0.105665844820181
"2012-07-20",1.08360579811826,0.015512380265341
"2012-07-23",1.09331058854527,0.0255343705937353
"2012-07-24",1.07677200349704,-0.149375310095438
"2012-07-25",1.06063238654214,-0.0611669121497651
"2012-07-26",1.04669986058351,-0.0648076293526977
"2012-07-27",1.02685804394417,-0.127315753657673
"2012-07-30",1.01700188215902,-0.0943599577161981
"2012-07-31",0.997608521538465,-0.125101448901693
"2012-08-01",1.00596897054479,-0.230129688322587
"2012-08-02",0.994307282953294,-0.0253357302181861
"2012-08-03",0.987621935422555,-0.218168941561998
"2012-08-06",1.00710299851036,-0.286135203305499
"2012-08-07",0.990512880569953,-0.143707763776113
"2012-08-08",0.974429397580698,-0.119913079226085
"2012-08-09",0.988922102208954,-0.166887433827701
"2012-08-10",0.972394352947889,-0.04071805031537
"2012-08-13",1.01040440223178,0.0637878296218801
"2012-08-14",0.992218601793837,-0.116934182413257
"2012-08-15",0.993010823273072,-0.0173559860166677
"2012-08-16",0.97792178625845,-0.0683391871453484
"2012-08-17",0.959312035490216,-0.0936088231727472
"2012-08-20",0.945937432444058,-0.0724502481609019
"2012-08-21",0.931677282343542,-0.150544590504378
"2012-08-22",0.917923539386557,-0.0493513270907267
"2012-08-23",0.924103671937656,-0.111983654410988
"2012-08-24",0.925627298556032,0.0383132396989735
"2012-08-27",0.967575583501345,0.114771803894271
"2012-08-28",0.96528770372007,-0.155293794585896
"2012-08-29",0.956096620720959,-0.0235339674862487
